Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,10.7268,10.764046,10.27985,10.317096000000001,7.104804,451700
2000-01-04,10.317096000000001,10.466078999999999,10.130867,10.242604,7.053505,311500
2000-01-05,10.168113,10.764046,10.168113,10.615063000000001,7.309997999999999,447000
2000-01-06,10.540571,10.838536999999999,10.503325,10.503325,7.233047999999999,223500
2000-01-07,10.577817,10.875783,10.354341999999999,10.354341999999999,7.130455,749400
2000-01-10,10.317096000000001,10.540571,10.317096000000001,10.428833000000001,7.181750999999999,320100
2000-01-11,10.428833000000001,10.913029,10.428833000000001,10.838536999999999,7.463894,466900
2000-01-12,10.801291,10.838536999999999,10.354341999999999,10.466078999999999,7.2074,1300200
2000-01-13,10.577817,11.17375,10.503325,11.099258,7.643435,1086600
2000-01-14,11.099258,11.322733,11.099258,11.248241,7.7460309999999994,398100
2000-01-18,11.17375,11.322733,10.950275,11.099258,7.643435,460900
2000-01-19,11.099258,11.136503999999999,10.801291,10.913029,7.515191000000001,931000
2000-01-20,10.838536999999999,10.875783,10.428833000000001,10.503325,7.233047999999999,777700
2000-01-21,10.652308,10.652308,10.466078999999999,10.466078999999999,7.2074,788400
2000-01-24,10.615063000000001,10.615063000000001,10.130867,10.205359,7.027855000000001,791000
2000-01-25,10.093621,10.130867,9.870146,9.907392,6.822665,872000
2000-01-26,10.019129,10.019129,9.758409,9.870146,6.797014999999999,1011600
2000-01-27,9.870146,9.944637,9.683917,9.8329,6.771363000000001,631200
2000-01-28,9.758409,9.758409,9.348704,9.38595,6.4635739999999995,1339000
2000-01-31,9.38595,9.572179,9.274213,9.460442,6.514873000000001,646000
2000-02-01,9.460442,9.534933,9.087983,9.162475,6.309683000000001,714200
2000-02-02,9.162475,9.423196,8.49205,9.423196,6.489226,4170000
2000-02-03,9.460442,9.646671000000001,9.311459,9.646671000000001,6.643119,631300
2000-02-04,9.609425,9.981883,9.609425,9.981883,6.87396,1958700
2000-02-07,9.944637,9.981883,9.497686999999999,9.572179,6.5918220000000005,690000
2000-02-08,9.683917,9.8329,9.609425,9.758409,6.7200679999999995,994400
2000-02-09,9.683917,9.721163,9.38595,9.423196,6.489226,658900
2000-02-10,9.348704,9.572179,9.236967,9.460442,6.514873000000001,754500
2000-02-11,9.534933,9.572179,9.19972,9.274213,6.386629,614800
2000-02-14,9.236967,9.274213,8.976246000000002,9.013492,6.207086,481900
2000-02-15,8.976246000000002,9.19972,8.901753999999999,9.162475,6.309683000000001,1080900
2000-02-16,9.162475,9.19972,8.715525,8.827263,6.078841000000001,764600
2000-02-17,8.864509,8.901753999999999,8.678279,8.790017,6.05319,589600
2000-02-18,8.641033,8.715525,8.49205,8.603786999999999,5.924943,1097100
2000-02-22,8.641033,8.790017,8.49205,8.566542,5.899294,596000
2000-02-23,8.529296,8.771364,8.417558999999999,8.417558999999999,5.7967010000000005,1267300
2000-02-24,8.343066,8.417558999999999,7.933362,8.156837,5.617154,982400
2000-02-25,8.156837,8.268575,8.0451,8.082346000000001,5.565856,419600
2000-02-28,8.231328999999999,8.343066,8.007854,8.0451,5.540207,551800
2000-02-29,8.0451,8.156837,7.821625,7.858871000000001,5.411962,875900
2000-03-01,7.933362,8.194083000000001,7.896116999999999,8.119591999999999,5.591506,865300
2000-03-02,8.119591999999999,8.268575,7.970608,8.007854,5.514558,530700
2000-03-03,8.007854,8.194083000000001,7.970608,8.082346000000001,5.565856,693300
2000-03-06,8.0451,8.194083000000001,7.970608,8.082346000000001,5.565856,631000
2000-03-07,8.0451,8.156837,7.411921,7.523658,5.181118,870000
2000-03-08,7.411921,7.747133,7.411921,7.486413000000001,5.1554709999999995,642300
2000-03-09,7.523658,7.672642,7.411921,7.635396000000001,5.258068,836400
2000-03-10,7.59815,7.896116999999999,7.523658,7.709888,5.309366000000001,443700
2000-03-13,7.635396000000001,7.896116999999999,7.59815,7.635396000000001,5.258068,774500
2000-03-14,7.59815,7.747133,7.560903999999999,7.635396000000001,5.258068,420500
2000-03-15,7.635396000000001,8.194083000000001,7.635396000000001,8.082346000000001,5.565856,589300
